packet count,byte count,duration,idele timeout,hard timeout,Label
0,0,0,0,0,0
2,196,2,0,0,0
4,392,4,0,0,0
6,588,6,0,0,0
8,784,8,0,0,0
10,980,10,0,0,0
12,1176,12,0,0,0
14,1372,14,0,0,0
16,1568,16,0,0,0
18,1764,18,0,0,0
20,1960,20,0,0,0
22,2156,22,0,0,0
24,2352,24,0,0,0
26,2548,26,0,0,0
28,2744,28,0,0,0
30,2940,30,0,0,0
32,3136,32,0,0,0
34,3332,34,0,0,0
36,3528,36,0,0,0
38,3724,38,0,0,0
40,3920,40,0,0,0
42,4116,42,0,0,0
44,4312,44,0,0,0
46,4508,46,0,0,0
48,4704,48,0,0,0
50,4900,50,0,0,0
52,5096,52,0,0,0
54,5292,54,0,0,0
56,5488,56,0,0,0
58,5684,58,0,0,0
60,5880,60,0,0,0
62,6076,62,0,0,0
64,6272,64,0,0,0
66,6468,66,0,0,0
68,6664,68,0,0,0
70,6860,70,0,0,0
72,7056,72,0,0,0
74,7252,74,0,0,0
76,7448,76,0,0,0
78,7644,78,0,0,0
80,7840,80,0,0,0
81,7938,82,0,0,0
83,8134,84,0,0,0
85,8330,86,0,0,0
87,8526,88,0,0,0
89,8722,90,0,0,0
91,8918,92,0,0,0
93,9114,94,0,0,0
95,9310,96,0,0,0
97,9506,98,0,0,0
99,9702,100,0,0,0
101,9898,102,0,0,0
103,10094,104,0,0,0
105,10290,106,0,0,0
107,10486,108,0,0,0
109,10682,110,0,0,0
111,10878,112,0,0,0
113,11074,114,0,0,0
115,11270,116,0,0,0
117,11466,118,0,0,0
119,11662,120,0,0,0
121,11858,122,0,0,0
123,12054,124,0,0,0
125,12250,126,0,0,0
127,12446,128,0,0,0
129,12642,130,0,0,0
131,12838,132,0,0,0
133,13034,134,0,0,0
135,13230,136,0,0,0
137,13426,138,0,0,0
139,13622,140,0,0,0
141,13818,142,0,0,0
143,14014,144,0,0,0
145,14210,146,0,0,0
147,14406,148,0,0,0
149,14602,150,0,0,0
151,14798,152,0,0,0
153,14994,154,0,0,0
155,15190,156,0,0,0
